# index;voltage_out
733;-3.67932e-05
734;-3.69548e-05
735;-3.71321e-05
736;-3.73245e-05
737;-3.75313e-05
738;-3.77521e-05
739;-3.7986e-05
740;-3.82323e-05
741;-3.84903e-05
742;-3.8759e-05
743;-3.90376e-05
744;-3.93252e-05
745;-3.96207e-05
746;-3.99233e-05
747;-4.02319e-05
748;-4.05454e-05
749;-4.08627e-05
750;-4.11829e-05
751;-4.15047e-05
752;-4.18272e-05
753;-4.21492e-05
754;-4.24695e-05
755;-4.27872e-05
756;-4.31011e-05
757;-4.34101e-05
758;-4.37132e-05
759;-4.40094e-05
760;-4.42977e-05
761;-4.45771e-05
762;-4.48466e-05
763;-4.51054e-05
764;-4.53526e-05
765;-4.55874e-05
766;-4.5809e-05
767;-4.60168e-05
768;-4.621e-05
769;-4.63881e-05
770;-4.65505e-05
771;-4.66968e-05
772;-4.68265e-05
773;-4.69392e-05
774;-4.70348e-05
775;-4.7113e-05
776;-4.71744e-05
777;-4.72172e-05
778;-4.72424e-05
779;-4.725e-05
780;-4.72402e-05
781;-4.72131e-05
782;-4.71691e-05
783;-4.71084e-05
784;-4.70314e-05
785;-4.69387e-05
786;-4.68307e-05
787;-4.67089e-05
788;-4.65724e-05
789;-4.64225e-05
790;-4.62601e-05
791;-4.60858e-05
792;-4.59007e-05
793;-4.57055e-05
794;-4.55011e-05
795;-4.52887e-05
796;-4.50691e-05
797;-4.48433e-05
798;-4.46125e-05
799;-4.43777e-05
800;-4.41399e-05
801;-4.39003e-05
802;-4.366e-05
803;-4.342e-05
804;-4.31815e-05
805;-4.29456e-05
806;-4.27133e-05
807;-4.24857e-05
808;-4.2264e-05
809;-4.2049e-05
810;-4.18418e-05
811;-4.16434e-05
812;-4.14547e-05
813;-4.12766e-05
814;-4.11099e-05
815;-4.09555e-05
816;-4.08142e-05
817;-4.06866e-05
818;-4.05726e-05
819;-4.04746e-05
820;-4.03921e-05
821;-4.03256e-05
822;-4.02755e-05
823;-4.02423e-05
824;-4.02261e-05
825;-4.02273e-05
826;-4.02459e-05
827;-4.0282e-05
828;-4.03357e-05
829;-4.04069e-05
830;-4.04946e-05
831;-4.06002e-05
832;-4.07228e-05
833;-4.08619e-05
834;-4.10173e-05
835;-4.11884e-05
836;-4.13748e-05
837;-4.15759e-05
838;-4.1791e-05
839;-4.20195e-05
840;-4.22606e-05
841;-4.25136e-05
842;-4.27775e-05
843;-4.30515e-05
844;-4.33348e-05
845;-4.36262e-05
846;-4.3925e-05
847;-4.42299e-05
848;-4.45401e-05
849;-4.48544e-05
850;-4.51717e-05
851;-4.5491e-05
852;-4.58111e-05
853;-4.6131e-05
854;-4.64496e-05
855;-4.67657e-05
856;-4.70782e-05
857;-4.73862e-05
858;-4.76885e-05
859;-4.7984e-05
860;-4.82719e-05
861;-4.8551e-05
862;-4.88205e-05
863;-4.90795e-05
864;-4.9327e-05
865;-4.95623e-05
866;-4.97845e-05
867;-4.9993e-05
868;-5.01871e-05
869;-5.03662e-05
870;-5.05296e-05
871;-5.0677e-05
872;-5.08079e-05
873;-5.09219e-05
874;-5.10188e-05
875;-5.10982e-05
876;-5.11609e-05
877;-5.12049e-05
878;-5.12313e-05
879;-5.12401e-05
880;-5.12313e-05
881;-5.12052e-05
882;-5.1162e-05
883;-5.1102e-05
884;-5.10257e-05
885;-5.09334e-05
886;-5.08258e-05
887;-5.07041e-05
888;-5.05675e-05
889;-5.04174e-05
890;-5.02546e-05
891;-5.00797e-05
892;-4.98937e-05
893;-4.96974e-05
894;-4.94918e-05
895;-4.92778e-05
896;-4.90564e-05
897;-4.88286e-05
898;-4.85955e-05
899;-4.83582e-05
900;-4.81176e-05
901;-4.7875e-05
902;-4.76314e-05
903;-4.73879e-05
904;-4.71456e-05
905;-4.69057e-05
906;-4.66691e-05
907;-4.64371e-05
908;-4.62106e-05
909;-4.59907e-05
910;-4.57784e-05
911;-4.55746e-05
912;-4.53804e-05
913;-4.51966e-05
914;-4.50241e-05
915;-4.48638e-05
916;-4.47163e-05
917;-4.45824e-05
918;-4.44628e-05
919;-4.43574e-05
920;-4.42683e-05
921;-4.41952e-05
922;-4.41385e-05
923;-4.40985e-05
924;-4.40756e-05
925;-4.407e-05
926;-4.40818e-05
927;-4.41112e-05
928;-4.41582e-05
929;-4.42228e-05
930;-4.43039e-05
931;-4.4403e-05
932;-4.45192e-05
933;-4.46521e-05
934;-4.48013e-05
935;-4.49665e-05
936;-4.5147e-05
937;-4.53424e-05
938;-4.5552e-05
939;-4.57752e-05
940;-4.60112e-05
941;-4.62593e-05
942;-4.65185e-05
943;-4.67881e-05
944;-4.70671e-05
945;-4.73546e-05
946;-4.76496e-05
947;-4.79511e-05
948;-4.82581e-05
949;-4.85694e-05
950;-4.8884e-05
951;-4.92009e-05
952;-4.95188e-05
953;-4.98368e-05
954;-5.01536e-05
955;-5.04683e-05
956;-5.07797e-05
957;-5.10867e-05
958;-5.13882e-05
959;-5.16833e-05
960;-5.19708e-05
961;-5.22499e-05
962;-5.25195e-05
963;-5.27787e-05
964;-5.30267e-05
965;-5.32626e-05
966;-5.34857e-05
967;-5.36951e-05
968;-5.38902e-05
969;-5.40704e-05
970;-5.42351e-05
971;-5.43838e-05
972;-5.4516e-05
973;-5.46314e-05
974;-5.47297e-05
975;-5.48105e-05
976;-5.48738e-05
977;-5.49201e-05
978;-5.49478e-05
979;-5.49578e-05
980;-5.49503e-05
981;-5.49253e-05
982;-5.48831e-05
983;-5.48241e-05
984;-5.47486e-05
985;-5.4657e-05
986;-5.45498e-05
987;-5.44285e-05
988;-5.42921e-05
989;-5.41419e-05
990;-5.39788e-05
991;-5.38035e-05
992;-5.36168e-05
993;-5.34197e-05
994;-5.32129e-05
995;-5.29976e-05
996;-5.27746e-05
